arabic_sentence,franco_arabic
"كبينة للبيع في دي باي 50 متر ب أوضة و حمام, بسعر 17910000 في الضبعة",kbynh llby3 fy dy bay 50 mtr b 2w9dh w 7mam bs3r 17910000 fy al9db3h
"دوبلكس للبيع في جارنت ريزيدنس 321 متر ب 3 أوض و 4 حمامات, بسعر 30274532 في القاهرة الجديدة",dwblks llby3 fy garnt ryzydns 321 mtr b 3 2w9d w 4 7mamat bs3r 30274532 fy alqahrh algdydh
"فيلا مستقلة للبيع في ذا وندر مارك 500 متر ب 5 أوض و 6 حمامات, بسعر 86200000 في ماديناتي",fyla mstqlh llby3 fy dha wndr mark 500 mtr b 5 2w9d w 6 7mamat bs3r 86200000 fy madynaty
"مكتب إداري للبيع في مجمع ابيكس التجاري 36 متر ب أوضة و حمام, بسعر 3189375 في ماديناتي",mktb 2dary llby3 fy mgm3 abyks altgary 36 mtr b 2w9dh w 7mam bs3r 3189375 fy madynaty
"محل تجاري للبيع في مجمع ابيكس التجاري 36 متر ب أوضة و حمام, بسعر 5315625 في ماديناتي",m7l tgary llby3 fy mgm3 abyks altgary 36 mtr b 2w9dh w 7mam bs3r 5315625 fy madynaty
"صيدلية للبيع في مجمع ابيكس التجاري 79 متر ب أوضة و حمام, بسعر 23329687 في ماديناتي",9ydlyh llby3 fy mgm3 abyks altgary 79 mtr b 2w9dh w 7mam bs3r 23329687 fy madynaty
"بنت هاوس للبيع فى ايدج بمساحة 674 متر ب 5 أوض و 8 حمامات, بسعر 292863000 في القاهرة الجديدة",bnt haws llby3 fy aydg bmsa7h 674 mtr b 5 2w9d w 8 7mamat bs3r 292863000 fy alqahrh algdydh
"بنت هاوس للبيع فى ايدج بمساحة 630 متر ب 5 أوض و 8 حمامات, بسعر 209820000 في القاهرة الجديدة",bnt haws llby3 fy aydg bmsa7h 630 mtr b 5 2w9d w 8 7mamat bs3r 209820000 fy alqahrh algdydh
"توين هاوس للبيع فى فاها بمساحة 248 متر ب 3 أوض و 4 حمامات, بسعر 21500000 في مدينة المستقبل",twyn haws llby3 fy faha bmsa7h 248 mtr b 3 2w9d w 4 7mamat bs3r 21500000 fy mdynh almstqbl
"تاون هاوس للبيع فى فاها بمساحة 236 متر ب 4 أوض و 4 حمامات, بسعر 18750777 في مدينة المستقبل",tawn haws llby3 fy faha bmsa7h 236 mtr b 4 2w9d w 4 7mamat bs3r 18750777 fy mdynh almstqbl
"تاون هاوس للبيع فى فاها بمساحة 225 متر ب 4 أوض و 4 حمامات, بسعر 16750000 في مدينة المستقبل",tawn haws llby3 fy faha bmsa7h 225 mtr b 4 2w9d w 4 7mamat bs3r 16750000 fy mdynh almstqbl
